id,mean,2.50%,50%,97.50%,n_na,temp
829,12.23594763,11.98390169,12.23461821,12.490745,0,25.28
830,12.22425908,11.97266213,12.2229101,12.47866531,0,25.29
831,12.21258926,11.96148811,12.21119848,12.46662341,0,25.3
832,12.20093779,11.95034199,12.19957879,12.4549516,0,25.31
833,12.18931191,11.9392021,12.18800238,12.4435357,0,25.32
834,12.17770182,11.9279067,12.17633766,12.43163872,0,25.33
835,12.16611778,11.91665857,12.16468979,12.41976737,0,25.34
836,12.15455931,11.90545435,12.15312015,12.40788015,0,25.35
837,12.14301517,11.89400337,12.14155495,12.39599648,0,25.36
838,12.13149692,11.88284688,12.13003558,12.38447532,0,25.37
839,12.12000016,11.87176796,12.11854889,12.37280996,0,25.38
840,12.10852186,11.86039302,12.10713927,12.36059185,0,25.39
841,12.09706924,11.8494877,12.09573829,12.34881361,0,25.4
842,12.08562607,11.838398,12.08420803,12.3370517,0,25.41
843,12.07421609,11.82747297,12.07279882,12.32561156,0,25.42
844,12.06282665,11.81637543,12.06139067,12.31387171,0,25.43
845,12.05145437,11.80542664,12.05002197,12.30198346,0,25.44
846,12.04009635,11.79460668,12.03863642,12.29012905,0,25.45
847,12.02876829,11.78381113,12.02744744,12.27823227,0,25.46
848,12.01746293,11.77283223,12.01606525,12.26676738,0,25.47
849,12.00616451,11.76150671,12.00475492,12.25499598,0,25.48
850,11.99489757,11.75072973,11.99336235,12.24343585,0,25.49
851,11.98365334,11.74004889,11.98216468,12.2315698,0,25.5
852,11.97241459,11.72900749,11.97085144,12.21959248,0,25.51
853,11.9612253,11.71839169,11.95967998,12.20829841,0,25.52
854,11.95003089,11.70745397,11.94851592,12.19669575,0,25.53
855,11.93886659,11.69655894,11.93732628,12.18479545,0,25.54
856,11.92772697,11.68522243,11.92612081,12.17332499,0,25.55
857,11.91657696,11.67460285,11.91512796,12.16187083,0,25.56
858,11.90549474,11.66420338,11.90394968,12.15090123,0,25.57
859,11.89441235,11.65356605,11.89294682,12.13946138,0,25.58
860,11.88334498,11.6425231,11.88184025,12.12843423,0,25.59
861,11.8722962,11.63144365,11.8706555,12.11708941,0,25.6
862,11.86126905,11.62084584,11.85986001,12.10543694,0,25.61
863,11.85027553,11.60979829,11.84881653,12.09387386,0,25.62
864,11.8392963,11.59915312,11.83780461,12.08268911,0,25.63
865,11.82833989,11.58863015,11.82688129,12.07137541,0,25.64
866,11.81738516,11.57789091,11.81588056,12.06021568,0,25.65
867,11.8064608,11.56739607,11.8048729,12.04917073,0,25.66
868,11.79557064,11.55678205,11.79405379,12.03805843,0,25.67
869,11.78468642,11.54622678,11.78320923,12.0268968,0,25.68
870,11.77381943,11.53560149,11.77231391,12.01533505,0,25.69
871,11.76297967,11.52484504,11.76150388,12.00417575,0,25.7
872,11.75216425,11.51409951,11.75074918,11.99301802,0,25.71
873,11.74135679,11.50360662,11.74003,11.98188381,0,25.72
874,11.73057381,11.4928872,11.72915812,11.97073694,0,25.73
875,11.71980522,11.48210238,11.71823802,11.95965092,0,25.74
876,11.70907067,11.47155966,11.70727809,11.94845942,0,25.75
877,11.69834648,11.46103891,11.69662237,11.93714902,0,25.76
878,11.68763966,11.45053894,11.68575587,11.92585431,0,25.77
879,11.67695685,11.43991426,11.67507502,11.91490273,0,25.78
880,11.66629138,11.4289628,11.66459479,11.90365371,0,25.79
881,11.65563743,11.41838499,11.6540826,11.89234965,0,25.8
882,11.64501887,11.40810893,11.64355021,11.88179594,0,25.81
883,11.63441179,11.39771871,11.63296526,11.87126722,0,25.82
884,11.62382133,11.38738279,11.62240991,11.86037963,0,25.83
885,11.61325579,11.37699066,11.61186189,11.84920309,0,25.84
886,11.6027068,11.36692967,11.60118598,11.83795569,0,25.85
887,11.5921771,11.35680876,11.59070175,11.82756137,0,25.86
888,11.58166668,11.34628495,11.58015056,11.81679058,0,25.87
889,11.57117548,11.33604464,11.56960243,11.80603698,0,25.88
890,11.56070349,11.32613456,11.55908793,11.7954102,0,25.89
891,11.55025066,11.31595622,11.54844732,11.78509761,0,25.9
892,11.53981698,11.30612738,11.53799759,11.77441123,0,25.91
893,11.5294024,11.29633215,11.52761959,11.76391937,0,25.92
894,11.51900689,11.28663258,11.51722063,11.75319044,0,25.93
895,11.50863043,11.27644623,11.50694182,11.74212545,0,25.94
896,11.49827299,11.26624146,11.49658731,11.73144274,0,25.95
897,11.48793453,11.25585744,11.48623829,11.72137099,0,25.96
898,11.47761503,11.24580128,11.4758098,11.71050013,0,25.97
899,11.46731445,11.2358739,11.46540528,11.69957073,0,25.98
900,11.45703277,11.22592514,11.45507205,11.68871531,0,25.99
901,11.44676996,11.21612667,11.44496743,11.67807156,0,26
902,11.43652599,11.20594573,11.43476901,11.66763824,0,26.01
903,11.42630084,11.19599255,11.42446455,11.65726391,0,26.02
904,11.41609447,11.18578672,11.41422091,11.64690922,0,26.03
905,11.40590686,11.17581961,11.40401918,11.63631785,0,26.04
906,11.39573799,11.16596856,11.39395012,11.62588688,0,26.05
907,11.38558782,11.15592993,11.38383225,11.6151132,0,26.06
908,11.37545632,11.14606818,11.37364328,11.60427627,0,26.07
909,11.36534349,11.13574384,11.36362047,11.5939322,0,26.08
910,11.35524928,11.1258413,11.35345309,11.58350317,0,26.09
